PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
1,58909.11,440.84,EWR,Newark Airport,EWR,#6c83b5,32.90417263590114,-46.886107061530865,#73ae80
2,365.34000000000003,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-36.064540968114514,-0.0,#6c83b5
3,6509.14,11204.300000000001,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,15.17319843372067,-44.76237710648191,#73ae80
4,191714.59,2751.11,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-16.488411089686675,35170.64102564102,#b5c0da
5,1072.43,11.3,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-22.676539720535853,-99.38376633291888,#2a5a5b
6,604.9599999999999,68.41,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-24.638114457981423,-92.7646747752512,#2a5a5b
7,109363.5,185013.04,Queens,Astoria,Boro Zone,#2a5a5b,-24.808289964496844,-33.23487193492525,#2a5a5b
8,3017.03,114.57,Queens,Astoria Park,Boro Zone,#e8e8e8,-16.426687792933038,371.2875359934183,#b5c0da
9,3646.85,8193.51,Queens,Auburndale,Boro Zone,#b8d6be,-3.917239489610154,-0.5399375333060561,#e8e8e8
10,116873.77,15964.21,Queens,Baisley Park,Boro Zone,#567994,-18.106171534814045,-20.666494060749667,#567994
11,2608.78,7110.26,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-33.70570372158621,-32.63162881479586,#2a5a5b
12,39926.5,73.74000000000001,Manhattan,Battery Park,Yellow Zone,#b5c0da,-4.087024452866168,177.21804511278197,#e8e8e8
13,1135166.32,1316.6399999999999,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-10.739181396763785,378.5345642218507,#b5c0da
14,17528.49,37688.12,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-19.32697343774018,-32.563371047719386,#2a5a5b
15,3084.11,5257.9,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,-32.66047153456158,4.08406066208856,#6c83b5
16,4875.78,10880.35,Queens,Bayside,Boro Zone,#b8d6be,-34.39063019324419,4.698884915762443,#6c83b5
17,24418.54,47428.05,Brooklyn,Bedford,Boro Zone,#5a9178,-9.899507221938308,-29.661402795862852,#5a9178
18,7229.46,20867.97,Bronx,Bedford Park,Boro Zone,#5a9178,2.444250152685923,-30.083034054918468,#73ae80
19,4714.12,7317.16,Queens,Bellerose,Boro Zone,#b8d6be,24.323084104508904,-3.823702989062928,#e8e8e8
20,4471.71,11157.89,Bronx,Belmont,Boro Zone,#b8d6be,14.34551359091722,-21.941082355838287,#b8d6be
21,5260.9,14752.6,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,-30.095232274001077,-40.75744025687865,#2a5a5b
22,8122.72,19367.25,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,-24.788167177324734,-37.0878825491049,#2a5a5b
23,2440.42,1268.66,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,-9.098291043997786,32.332662278734524,#b5c0da
24,284647.76,20163.41,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b,-8.214048007735816,-16.64044206167564,#90b2b3
25,92511.34,135058.25,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,-17.229239030013385,-23.59188963733398,#90b2b3
26,12369.82,23216.25,Brooklyn,Borough Park,Boro Zone,#5a9178,-18.251413934074133,-44.27470527070738,#2a5a5b
27,391.89,497.99,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,915.2590673575128,473.1929097605893,#e8e8e8
28,65924.79,13687.41,Queens,Briarwood/Jamaica Hills,Boro Zone,#567994,70.97755382406099,-33.580927471109035,#73ae80
29,3974.35,19298.35,Brooklyn,Brighton Beach,Boro Zone,#73ae80,-21.321188749168538,-21.924629383366266,#567994
30,13.8,262.5,Queens,Broad Channel,Boro Zone,#e8e8e8,-94.29303999007485,-21.800524308865587,#567994
31,1283.72,1975.91,Bronx,Bronx Park,Boro Zone,#e8e8e8,39.00746082794616,-29.526421662339146,#73ae80
32,6864.18,13692.85,Bronx,Bronxdale,Boro Zone,#90b2b3,-20.509955102735642,-51.034620865494816,#2a5a5b
33,110153.03,180998.43,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,-16.216094312450075,-16.30599091075178,#90b2b3
34,2855.92,3325.41,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,18.67624081646222,40.99980919671819,#e8e8e8
35,25676.25,43103.38,Brooklyn,Brownsville,Boro Zone,#5a9178,3.0111491352299002,-29.579306108311936,#73ae80
36,12390.35,19849.42,Brooklyn,Bushwick North,Boro Zone,#5a9178,-19.2996659400151,-41.95212094431599,#2a5a5b
37,24517.53,26942.42,Brooklyn,Bushwick South,Boro Zone,#5a9178,-16.749105353211892,-26.649649316628892,#90b2b3
38,9413.56,9526.38,Queens,Cambria Heights,Boro Zone,#90b2b3,14.396195850969324,-37.57937410191206,#73ae80
39,26867.39,50568.56,Brooklyn,Canarsie,Boro Zone,#5a9178,-0.0693668535790375,-22.954628628297378,#b8d6be
40,49822.91,28638.26,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,-8.1219711941768,-31.165971234088385,#5a9178
41,320773.51,288141.27,Manhattan,Central Harlem,Boro Zone,#2a5a5b,-12.975367227886252,-25.083695474442315,#90b2b3
42,147255.88,203882.81,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,-16.612093419493053,-18.05843364351843,#90b2b3
43,1435534.67,70837.56,Manhattan,Central Park,Yellow Zone,#2a5a5b,-7.9096644044916955,-22.920419991545334,#90b2b3
44,2172.06,0.0,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,9.729926343548236,-100.0,#73ae80
45,217275.38,5786.37,Manhattan,Chinatown,Yellow Zone,#567994,-20.607719031875902,16829.110590988883,#6c83b5
46,991.1800000000001,3164.28,Bronx,City Island,Boro Zone,#e8e8e8,50.2698605215282,-5.9685658503534755,#e8e8e8
47,6382.87,15851.98,Bronx,Claremont/Bathgate,Boro Zone,#b8d6be,-21.99888794520381,-36.78755815516099,#2a5a5b
48,3161934.13,2435.06,Manhattan,Clinton East,Yellow Zone,#6c83b5,-13.537955265782752,137.0026473565366,#b5c0da
49,28507.36,54981.21,Brooklyn,Clinton Hill,Boro Zone,#5a9178,-25.795919621026975,-33.95425934599338,#2a5a5b
50,851119.03,1746.73,Manhattan,Clinton West,Yellow Zone,#6c83b5,-18.54237485290987,1074.9831831023812,#6c83b5
51,19748.61,45473.79,Bronx,Co-Op City,Boro Zone,#5a9178,-13.053694333387483,-29.60710353271062,#5a9178
52,64069.94,57186.16,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b,-3.9952661395466804,-21.634518537236584,#b8d6be
53,4677.1,5881.97,Queens,College Point,Boro Zone,#b8d6be,-29.148696694130987,35.13413544268029,#6c83b5
54,4246.62,2947.48,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,16.026600802177025,-18.459644512068607,#b8d6be
55,7360.09,54800.53,Brooklyn,Coney Island,Boro Zone,#5a9178,-7.371781963895573,-19.916559122562862,#90b2b3
56,52280.95,23168.36,Queens,Corona,Boro Zone,#2a5a5b,188.4116134869147,-14.930981634512921,#b8d6be
57,452.73,729.27,Queens,Corona,Boro Zone,#e8e8e8,-24.679321875987824,17.538883068740418,#6c83b5
58,1107.68,1425.77,Bronx,Country Club,Boro Zone,#e8e8e8,68.50432031154924,18.82802993682597,#e8e8e8
59,571.01,967.84,Bronx,Crotona Park,Boro Zone,#e8e8e8,-17.304851556842866,-19.17288837667652,#90b2b3
60,4355.94,9655.3,Bronx,Crotona Park East,Boro Zone,#b8d6be,1.07410114510459,-19.13748210904334,#b8d6be
61,44019.13,79369.61,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,-11.985609502702868,-33.96501867658491,#5a9178
62,12814.37,23661.760000000002,Brooklyn,Crown Heights South,Boro Zone,#5a9178,-18.36831808808756,-33.85533230051709,#2a5a5b
63,7747.2,11934.53,Brooklyn,Cypress Hills,Boro Zone,#90b2b3,24.7859751078782,-8.917437102094325,#e8e8e8
64,4053.34,4161.43,Queens,Douglaston,Boro Zone,#b8d6be,7.642422375423581,17.05093622634823,#e8e8e8
65,136275.11000000002,154165.45,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,-12.378532407346665,-25.714488506728006,#90b2b3
66,49869.77,139103.7,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b,-17.189879483901443,-12.2968798380051,#90b2b3
67,3137.33,8141.52,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,-42.388434092469964,-25.93447061220925,#567994
68,2642706.5100000002,3036.84,Manhattan,East Chelsea,Yellow Zone,#6c83b5,-5.187539746815943,998.9903376397785,#e8e8e8
69,15564.51,34407.58,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,-27.38039082850548,-26.687436824458498,#567994
70,24875.72,9086.61,Queens,East Elmhurst,Boro Zone,#90b2b3,-13.565227785082284,-11.395442720014346,#90b2b3
71,17319.92,30183.97,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,5.359361027805977,-21.498168271433933,#b8d6be
72,17837.36,30269.88,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178,-19.28325228033672,-33.770923941938726,#2a5a5b
73,1171.62,3196.53,Queens,East Flushing,Boro Zone,#e8e8e8,-14.055588565392496,-17.905920785671352,#90b2b3
74,329112.11,443532.35000000003,Manhattan,East Harlem North,Boro Zone,#2a5a5b,-12.121809589681096,-15.364051912571844,#90b2b3
75,688361.1900000001,392946.92,Manhattan,East Harlem South,Boro Zone,#2a5a5b,-11.85480407710137,-19.37904699275128,#90b2b3
76,38772.86,68901.86,Brooklyn,East New York,Boro Zone,#5a9178,-19.571714149459453,-32.69435397066706,#2a5a5b
77,10520.99,18690.94,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#5a9178,4.8364724850083896,-26.349830561904014,#b8d6be
78,10573.67,20521.59,Bronx,East Tremont,Boro Zone,#5a9178,7.865204071951826,-21.036367400243027,#b8d6be
79,2747425.67,1096.16,Manhattan,East Village,Yellow Zone,#6c83b5,-11.369607269314704,264.5967071345419,#b5c0da
80,40526.96,51091.87,Brooklyn,East Williamsburg,Boro Zone,#5a9178,-24.72704309063893,-22.23175580234286,#567994
81,6514.35,19788.19,Bronx,Eastchester,Boro Zone,#73ae80,-34.08629839676621,-30.988362157656674,#2a5a5b
82,72003.22,216457.12,Queens,Elmhurst,Boro Zone,#2a5a5b,49.37649512442401,-26.56763195476132,#b8d6be
83,9224.44,28495.34,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178,-28.36143133618507,-25.515757039193225,#567994
84,341.33000000000004,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,-48.54993819902926,-100.0,#2a5a5b
85,10008.55,16511.66,Brooklyn,Erasmus,Boro Zone,#90b2b3,-20.14299745713149,-38.871966118260296,#2a5a5b
86,8367.15,16762.2,Queens,Far Rockaway,Boro Zone,#90b2b3,4.7154261942813624,8.50233352968212,#e8e8e8
87,970204.93,5962.19,Manhattan,Financial District North,Yellow Zone,#567994,-11.685462281200062,2287.55005606279,#b5c0da
88,533941.68,3868.46,Manhattan,Financial District South,Yellow Zone,#6c83b5,-14.101898470127674,3100.777759391031,#b5c0da
89,31202.7,49414.32,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178,-14.802286050054244,-27.21266097322349,#90b2b3
90,1741523.51,1631.84,Manhattan,Flatiron,Yellow Zone,#6c83b5,-11.258172341915714,441.02513095948535,#b5c0da
91,15305.26,37953.94,Brooklyn,Flatlands,Boro Zone,#5a9178,-28.548706732553548,-25.53093677065419,#567994
