PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent
1,31304.97,369.26,EWR,Newark Airport,EWR,#6c83b5,-48.77979462813162,6.154951847060505,#e8e8e8,-48.46890773391902
2,9.8,6.59,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-91.97773411918794,-0.0,#6c83b5,-86.58316961362148
3,2697.85,4478.2,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,-64.3622361364297,-74.64143985793498,#2a5a5b,-71.5571556085442
4,96227.39,855.91,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-64.56909243825822,2760.6617647058824,#6c83b5,-64.25788407533747
5,533.0699999999998,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-68.81902199344876,-100.0,#2a5a5b,-89.58835455102991
6,489.29,22.83,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-53.01703443375392,-79.20765027322403,#5a9178,-55.5150188495683
7,70150.77,93241.94,Queens,Astoria,Boro Zone,#2a5a5b,-57.546674997069466,-67.92971677445564,#5a9178,-64.16705520318011
8,2694.88,28.3,Queens,Astoria Park,Boro Zone,#e8e8e8,-26.82921531360304,-76.93185523312684,#73ae80,-28.444325324252173
9,1538.59,3597.58,Queens,Auburndale,Boro Zone,#b8d6be,-61.71957026915403,-52.08695142610568,#6c83b5,-55.445435476959226
10,47860.22,7449.24,Queens,Baisley Park,Boro Zone,#567994,-72.35493193025341,-64.22600712863527,#567994,-71.48217223925552
11,1623.94,3949.42,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-73.67468883434866,-64.12866168451112,#567994,-67.55656714419601
12,19116.97,0.0,Manhattan,Battery Park,Yellow Zone,#b5c0da,-67.94649502580529,-100.0,#2a5a5b,-68.02264128345881
13,533612.49,356.95,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-64.27572679620499,-9.972508764407682,#6c83b5,-64.26131626613123
14,10736.31,19059.41,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-61.49217114973182,-63.338186461292594,#567994,-62.693766735438516
15,1800.29,1802.44,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,-65.20257536777852,-64.45214043696232,#567994,-64.83113678228129
16,2565.53,5317.31,Queens,Bayside,Boro Zone,#b8d6be,-67.69403187115539,-48.8432927720951,#6c83b5,-57.007795256308654
17,14535.79,24820.86,Brooklyn,Bedford,Boro Zone,#5a9178,-55.202899649470574,-64.86924792789529,#90b2b3,-61.82704004602871
18,4922.730000000001,10401.98,Bronx,Bedford Park,Boro Zone,#5a9178,-36.355338467764135,-62.13405342596106,#b8d6be,-56.47038438869203
19,2905.55,3700.53,Queens,Bellerose,Boro Zone,#b8d6be,-26.10954570422965,-52.533452709566866,#e8e8e8,-43.674115303811625
20,2359.54,4779.5,Bronx,Belmont,Boro Zone,#b8d6be,-57.217585549779606,-70.78638087297959,#5a9178,-67.36547763206073
21,2727.78,7874.38,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,-70.20288360600404,-68.78253809424886,#2a5a5b,-69.1607528944445
22,5200.11,9052.03,Brooklyn,Bensonhurst West,Boro Zone,#90b2b3,-50.5140246948826,-67.17841150129625,#73ae80,-62.580777284034895
23,1536.74,1065.49,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,-54.534723064588185,-30.418342824303853,#b5c0da,-47.01556203945586
24,158613.57,9505.22,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b,-55.33629693606458,-60.112864761612215,#90b2b3,-55.63666462370085
25,52786.05,61522.81,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,-60.60427371503153,-65.91621689060182,#90b2b3,-63.65307793549712
26,6443.93,9929.64,Brooklyn,Borough Park,Boro Zone,#5a9178,-58.150401712449074,-72.49764504279084,#5a9178,-68.20821583099234
27,388.71,938.46,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,-10.369396790260092,189.094941778079,#e8e8e8,75.01912171963603
